Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.0600        -329.8969    -330.1920       0.2951   326.1
1.0700        -329.8381    -330.1169       0.2789   308.2
1.0800        -329.6677    -330.0214       0.3538   391.0
1.0900        -329.6840    -329.9378       0.2538   280.4
1.1000        -329.7290    -329.9513       0.2223   245.7
1.1100        -329.5726    -329.7332       0.1607   177.6
1.1200        -329.4950    -329.5880       0.0931   102.8
1.1300        -329.3204    -329.5812       0.2608   288.2
1.1400        -329.3119    -329.5160       0.2042   225.6
1.1500        -329.2018    -329.3668       0.1649   182.3
1.1600        -328.7862    -329.0271       0.2408   266.2
1.1700        -328.8527    -329.1367       0.2839   313.8
1.1800        -328.9713    -329.1172       0.1459   161.3
1.1900        -328.7693    -329.0355       0.2662   294.2
1.2000        -328.8156    -329.0476       0.2321   256.5
1.2100        -328.8282    -329.1210       0.2927   323.5
1.2200        -328.9165    -329.1960       0.2795   308.9
1.2300        -328.7829    -329.1724       0.3895   430.4
1.2400        -329.0430    -329.4150       0.3720   411.1
1.2500        -329.2039    -329.4938       0.2899   320.4
1.2600        -329.1941    -329.3259       0.1318   145.6
1.2700        -328.8438    -329.2354       0.3916   432.8
1.2800        -329.0465    -329.1958       0.1494   165.1
1.2900        -328.6647    -329.0334       0.3687   407.5
1.3000        -328.6135    -328.9000       0.2864   316.6
1.3100        -328.6204    -328.8383       0.2179   240.8
1.3200        -328.4419    -328.7104       0.2685   296.8
1.3300        -328.4683    -328.6942       0.2258   249.6
1.3400        -328.3155    -328.5283       0.2129   235.3
1.3500        -328.1689    -328.3330       0.1641   181.4
1.3600        -328.1196    -328.2499       0.1303   144.0
1.3700        -327.7467    -328.0126       0.2659   293.9
1.3800        -327.7838    -327.9622       0.1784   197.2
1.3900        -327.9125    -328.0821       0.1696   187.4
1.4000        -327.7449    -327.9438       0.1989   219.8
1.4100        -327.5604    -327.7371       0.1767   195.3
1.4200        -327.4960    -327.6775       0.1815   200.6
1.4300        -327.2788    -327.5213       0.2425   268.0
1.4400        -327.2250    -327.4805       0.2555   282.4
1.4500        -327.1240    -327.3305       0.2065   228.2
1.4600        -327.0980    -327.2190       0.1210   133.7
1.4700        -326.9190    -327.1170       0.1980   218.8
1.4800        -326.7620    -326.9800       0.2180   241.0
1.4900        -326.9773    -327.1571       0.1798   198.7
1.5000        -326.9321    -327.1150       0.1829   202.1
1.5100        -326.9911    -327.2040       0.2129   235.3
1.5200        -327.3223    -327.6216       0.2993   330.8
1.5300        -327.8195    -327.9508       0.1313   145.1
1.5400        -327.5625    -327.7917       0.2292   253.3
1.5500        -327.6320    -327.8096       0.1776   196.3
1.5600        -327.6822    -327.9059       0.2237   247.2
1.5700        -327.7768    -327.9964       0.2196   242.7
1.5800        -327.4219    -327.8209       0.3990   440.9
1.5900        -327.3718    -327.6229       0.2511   277.5
1.6000        -327.4828    -327.7381       0.2553   282.1
1.6100        -327.5564    -327.6866       0.1303   144.0
1.6200        -327.3441    -327.6181       0.2740   302.8
1.6300        -327.4813    -327.9751       0.4938   545.7
1.6400        -327.5571    -327.8886       0.3314   366.3
1.6500        -327.2615    -327.4571       0.1957   216.2
1.6600        -327.0790    -327.2495       0.1705   188.4
1.6700        -326.9092    -327.0647       0.1555   171.9
1.6800        -326.7558    -326.9012       0.1455   160.8
1.6900        -326.5640    -326.7509       0.1870   206.6
1.7000        -326.3128    -326.5053       0.1925   212.7
1.7100        -326.1146    -326.2283       0.1137   125.7
1.7200        -325.9699    -326.1564       0.1865   206.1
1.7300        -325.8147    -326.1213       0.3066   338.9
1.7400        -325.7292    -326.0028       0.2737   302.4
1.7500        -325.6453    -325.9861       0.3408   376.6
1.7600        -325.6230    -325.8586       0.2356   260.4
1.7700        -325.3934    -325.7602       0.3668   405.4
1.7800        -325.3428    -325.5516       0.2088   230.8
1.7900        -325.1652    -325.2868       0.1216   134.4
1.8000        -324.8680    -325.0523       0.1843   203.7
1.8100        -324.7883    -325.0698       0.2814   311.0
1.8200        -324.7238    -325.0004       0.2766   305.7
1.8300        -324.7724    -324.9162       0.1438   159.0
1.8400        -324.9839    -325.1536       0.1697   187.5
1.8500        -324.7135    -324.9819       0.2684   296.6
1.8600        -324.5382    -324.8149       0.2767   305.8
1.8700        -324.5500    -324.7658       0.2158   238.5
1.8800        -324.3686    -324.5933       0.2247   248.3
1.8900        -324.3571    -324.6454       0.2884   318.7
1.9000        -324.3370    -324.6771       0.3401   375.9
1.9100        -324.3871    -324.4952       0.1081   119.4
1.9200        -324.4236    -324.5559       0.1323   146.2
1.9300        -324.6603    -324.8117       0.1513   167.2
1.9400        -324.5503    -324.8053       0.2550   281.8
1.9500        -324.3647    -324.5972       0.2325   257.0
1.9600        -324.4934    -324.7417       0.2484   274.5
1.9700        -324.2049    -324.4841       0.2791   308.5
1.9800        -323.7133    -323.9230       0.2097   231.7
1.9900        -323.4113    -323.6847       0.2734   302.2
2.0000        -323.2777    -323.5046       0.2269   250.8
2.0100        -323.1610    -323.3749       0.2140   236.5
2.0200        -323.0004    -323.1835       0.1831   202.4
2.0300        -322.9030    -323.2067       0.3037   335.6
2.0400        -322.7499    -322.9697       0.2199   243.0
2.0500        -322.6424    -322.8707       0.2282   252.2
2.0600        -322.7752    -322.8806       0.1054   116.5
2.0700        -322.8502    -322.9752       0.1250   138.1
2.0800        -322.9735    -323.0992       0.1258   139.0
2.0900        -322.8079    -322.9654       0.1575   174.1
2.1000        -322.6746    -322.8051       0.1305   144.2
2.1100        -322.7918    -322.9678       0.1760   194.5
2.1200        -322.4259    -322.7572       0.3313   366.2
2.1300        -321.9522    -322.1794       0.2272   251.1
2.1400        -321.6936    -321.9624       0.2688   297.1
2.1500        -321.5872    -321.8892       0.3021   333.8
2.1600        -321.6148    -321.8867       0.2719   300.5
2.1700        -321.8956    -322.1941       0.2985   329.9
2.1800        -322.7602    -323.0813       0.3212   354.9
2.1900        -324.1658    -324.5335       0.3677   406.4
2.2000        -326.1294    -326.8298       0.7004   774.0
2.2100        -327.6158    -328.3814       0.7656   846.1
2.2200        -328.5415    -328.9743       0.4329   478.4
2.2300        -328.8257    -329.2798       0.4541   501.9
2.2400        -329.1283    -329.5337       0.4054   448.1
2.2500        -329.0032    -329.5586       0.5555   613.9
2.2600        -329.4833    -329.9337       0.4504   497.8
2.2700        -329.6321    -329.8779       0.2457   271.6
2.2800        -329.5692    -329.8157       0.2464   272.4
2.2900        -329.6357    -329.8322       0.1966   217.2
2.3000        -329.5898    -329.7836       0.1937   214.1
2.3100        -329.3360    -329.6803       0.3443   380.6
2.3200        -329.2345    -329.4579       0.2234   246.9
2.3300        -329.2377    -329.4943       0.2566   283.6
2.3400        -329.1149    -329.3728       0.2579   285.0
2.3500        -329.0751    -329.3357       0.2605   288.0
2.3600        -328.9183    -329.1723       0.2539   280.6
2.3700        -328.9804    -329.1201       0.1398   154.5
