Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -331.2844    -331.5580       0.2736   302.4
0.0100        -331.1260    -331.2641       0.1381   152.6
0.0200        -330.7728    -330.9268       0.1540   170.2
0.0300        -330.6258    -330.8947       0.2689   297.2
0.0400        -330.5181    -330.8818       0.3637   401.9
0.0500        -330.6035    -331.0807       0.4772   527.4
0.0600        -330.5572    -330.8430       0.2858   315.8
0.0700        -330.6516    -330.7909       0.1393   154.0
0.0800        -330.4871    -330.6024       0.1153   127.4
0.0900        -330.2786    -330.4412       0.1626   179.8
0.1000        -330.0640    -330.1955       0.1315   145.3
0.1100        -329.7719    -329.9837       0.2118   234.1
0.1200        -329.6161    -329.8885       0.2725   301.1
0.1300        -329.4027    -329.6571       0.2544   281.1
0.1400        -329.2101    -329.4766       0.2666   294.6
0.1500        -328.9668    -329.3164       0.3497   386.4
0.1600        -329.0219    -329.1648       0.1429   157.9
0.1700        -328.7098    -329.0003       0.2905   321.1
0.1800        -328.9050    -329.7670       0.8620   952.7
0.1900        -329.3026    -329.8803       0.5778   638.5
0.2000        -329.3124    -329.5600       0.2476   273.7
0.2100        -329.1954    -329.4312       0.2358   260.6
0.2200        -328.9394    -329.2683       0.3289   363.5
0.2300        -328.9633    -329.1571       0.1938   214.2
0.2400        -328.7867    -328.9024       0.1157   127.9
0.2500        -328.7041    -328.8023       0.0981   108.4
0.2600        -328.4169    -328.6095       0.1926   212.9
0.2700        -328.2634    -328.4364       0.1730   191.2
0.2800        -328.0149    -328.2494       0.2345   259.1
0.2900        -327.8837    -328.0461       0.1624   179.5
0.3000        -327.6885    -327.8355       0.1470   162.5
0.3100        -327.4920    -327.6955       0.2035   224.9
0.3200        -327.1494    -327.3663       0.2170   239.8
0.3300        -326.9480    -327.1514       0.2034   224.8
0.3400        -326.7100    -326.9340       0.2240   247.5
0.3500        -326.5265    -326.7958       0.2693   297.6
0.3600        -326.3682    -326.6780       0.3098   342.3
0.3700        -326.2271    -326.4300       0.2029   224.3
0.3800        -325.9261    -326.2286       0.3025   334.3
0.3900        -325.8232    -325.9748       0.1516   167.5
0.4000        -325.6767    -325.9821       0.3053   337.5
0.4100        -326.6817    -328.1309       1.4492  1601.6
0.4200        -329.7605    -330.4927       0.7322   809.2
0.4300        -329.9923    -330.1985       0.2062   227.9
0.4400        -329.9753    -330.1968       0.2214   244.7
0.4500        -329.7546    -329.9761       0.2216   244.9
0.4600        -329.7215    -329.9671       0.2456   271.5
0.4700        -329.6370    -329.9287       0.2917   322.4
0.4800        -329.6560    -329.7721       0.1161   128.3
0.4900        -329.3601    -329.5752       0.2150   237.7
0.5000        -329.1411    -329.2954       0.1543   170.5
