      Step     Time          Energy         fmax
BFGS:    0 18:58:05    -1535.621339        1.0042
BFGS:    1 18:58:07    -1535.640002        0.4064
BFGS:    2 18:58:08    -1535.643337        0.1716
BFGS:    3 18:58:09    -1535.645923        0.1967
BFGS:    4 18:58:10    -1535.648178        0.1434
BFGS:    5 18:58:11    -1535.648942        0.0517
BFGS:    6 18:58:12    -1535.649018        0.0036
BFGS:    7 18:58:13    -1535.649018        0.0001
