Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.9800       -1534.0779   -1534.2207       0.1427   276.1
0.9900       -1534.0354   -1534.2247       0.1893   366.2
1.0000       -1533.8832   -1534.1673       0.2842   549.6
1.0100       -1533.7751   -1534.0372       0.2621   506.9
1.0200       -1533.6509   -1534.1477       0.4968   960.8
1.0300       -1533.8712   -1534.1897       0.3185   616.0
1.0400       -1533.9855   -1534.1551       0.1697   328.1
1.0500       -1534.0279   -1534.1481       0.1201   232.3
1.0600       -1533.9325   -1534.1050       0.1725   333.5
1.0700       -1533.8873   -1533.9985       0.1112   215.2
1.0800       -1533.9974   -1534.1190       0.1216   235.1
1.0900       -1534.0241   -1534.1583       0.1343   259.7
1.1000       -1533.9266   -1534.1278       0.2012   389.2
1.1100       -1533.8175   -1534.1498       0.3323   642.8
1.1200       -1533.7913   -1533.9793       0.1880   363.6
1.1300       -1533.9418   -1534.2010       0.2591   501.2
1.1400       -1534.0423   -1534.1956       0.1533   296.5
1.1500       -1533.9751   -1534.1790       0.2039   394.3
1.1600       -1533.9888   -1534.2434       0.2546   492.4
1.1700       -1534.0672   -1534.2374       0.1702   329.1
1.1800       -1533.9462   -1534.0379       0.0917   177.4
1.1900       -1533.8943   -1533.9918       0.0976   188.7
1.2000       -1533.7652   -1533.9824       0.2171   419.9
1.2100       -1533.9726   -1534.0708       0.0982   189.8
1.2200       -1533.7256   -1533.9944       0.2688   519.9
1.2300       -1533.9356   -1534.0778       0.1422   275.1
1.2400       -1534.0742   -1534.1285       0.0544   105.2
1.2500       -1533.8929   -1533.9904       0.0975   188.6
1.2600       -1533.8124   -1533.9806       0.1683   325.4
1.2700       -1533.7613   -1533.9445       0.1832   354.2
1.2800       -1533.8352   -1533.9931       0.1579   305.5
1.2900       -1533.3783   -1533.8717       0.4934   954.3
1.3000       -1533.6495   -1533.8866       0.2371   458.5
1.3100       -1533.8342   -1533.9713       0.1372   265.3
1.3200       -1533.7444   -1533.9354       0.1910   369.4
1.3300       -1533.8753   -1534.0448       0.1695   327.8
1.3400       -1533.7696   -1533.9071       0.1375   265.9
1.3500       -1533.8333   -1533.9789       0.1456   281.6
1.3600       -1533.8559   -1534.0129       0.1570   303.7
1.3700       -1533.7888   -1533.8352       0.0464    89.7
1.3800       -1533.8122   -1533.8825       0.0703   135.9
1.3900       -1533.6403   -1533.9375       0.2972   574.8
1.4000       -1533.6923   -1533.8961       0.2037   394.0
1.4100       -1533.7753   -1534.0108       0.2356   455.6
1.4200       -1533.9301   -1534.0640       0.1339   258.9
1.4300       -1533.6512   -1533.9058       0.2546   492.4
1.4400       -1533.6194   -1533.8297       0.2103   406.7
1.4500       -1533.8928   -1534.0012       0.1084   209.6
1.4600       -1533.7954   -1533.9066       0.1113   215.2
1.4700       -1533.8337   -1534.0931       0.2593   501.6
1.4800       -1533.6167   -1533.7963       0.1797   347.5
1.4900       -1533.8088   -1533.8889       0.0802   155.1
1.5000       -1533.7400   -1533.9051       0.1651   319.3
1.5100       -1533.6750   -1533.9207       0.2458   475.3
1.5200       -1533.7317   -1533.9269       0.1952   377.6
1.5300       -1533.4603   -1533.7436       0.2833   548.0
1.5400       -1533.7047   -1533.8631       0.1585   306.5
1.5500       -1533.6986   -1533.9055       0.2069   400.1
1.5600       -1533.6832   -1533.7578       0.0746   144.2
1.5700       -1533.4269   -1533.7922       0.3654   706.6
1.5800       -1533.4265   -1533.9228       0.4963   959.8
1.5900       -1533.7976   -1534.0154       0.2178   421.2
1.6000       -1533.8721   -1533.9122       0.0401    77.7
1.6100       -1533.6153   -1533.9217       0.3064   592.7
1.6200       -1533.6921   -1533.8185       0.1264   244.4
1.6300       -1533.7127   -1533.8059       0.0931   180.2
1.6400       -1533.4613   -1533.7979       0.3367   651.1
1.6500       -1533.6237   -1533.7621       0.1384   267.7
1.6600       -1533.7182   -1533.8058       0.0876   169.3
1.6700       -1533.5233   -1533.7947       0.2714   525.0
1.6800       -1533.7755   -1533.9289       0.1534   296.7
1.6900       -1533.6294   -1533.8913       0.2620   506.7
1.7000       -1533.6968   -1533.9339       0.2371   458.7
1.7100       -1533.7634   -1533.9045       0.1411   272.9
1.7200       -1533.6172   -1533.8411       0.2239   433.0
1.7300       -1533.4810   -1533.6984       0.2174   420.5
1.7400       -1533.5089   -1533.8615       0.3526   682.0
1.7500       -1533.5459   -1533.6971       0.1512   292.4
1.7600       -1533.3421   -1533.7611       0.4190   810.4
1.7700       -1533.6191   -1533.7876       0.1685   325.8
1.7800       -1533.7391   -1533.7863       0.0472    91.3
1.7900       -1533.6843   -1533.7874       0.1031   199.4
1.8000       -1533.7247   -1533.7628       0.0381    73.7
1.8100       -1533.3853   -1533.7934       0.4081   789.3
1.8200       -1533.5545   -1533.6937       0.1392   269.2
1.8300       -1533.4962   -1533.7633       0.2672   516.8
1.8400       -1533.5196   -1533.9190       0.3993   772.4
1.8500       -1533.7461   -1533.8875       0.1414   273.4
1.8600       -1533.5887   -1533.7611       0.1724   333.5
1.8700       -1533.5963   -1533.7930       0.1967   380.4
1.8800       -1533.2708   -1533.6653       0.3945   763.0
1.8900       -1532.9733   -1533.5268       0.5535  1070.5
1.9000       -1533.3459   -1533.7476       0.4017   776.9
1.9100       -1533.6655   -1533.7938       0.1283   248.2
1.9200       -1533.5672   -1533.7387       0.1715   331.6
1.9300       -1533.6765   -1533.8518       0.1753   339.1
1.9400       -1533.5485   -1533.7171       0.1685   325.9
1.9500       -1533.4714   -1533.7599       0.2886   558.1
1.9600       -1533.5229   -1533.7472       0.2243   433.9
1.9700       -1533.4640   -1533.7580       0.2940   568.6
1.9800       -1533.5396   -1533.7656       0.2260   437.0
1.9900       -1533.5816   -1533.6636       0.0820   158.6
2.0000       -1533.4196   -1533.5796       0.1600   309.5
2.0100       -1533.2941   -1533.5297       0.2356   455.6
2.0200       -1533.5407   -1533.7735       0.2327   450.1
2.0300       -1533.3666   -1533.5760       0.2094   405.0
2.0400       -1533.3401   -1533.6086       0.2684   519.2
2.0500       -1533.5993   -1533.7951       0.1958   378.7
2.0600       -1533.5997   -1533.6955       0.0958   185.2
2.0700       -1533.5081   -1533.6761       0.1680   324.9
2.0800       -1533.4915   -1533.6296       0.1381   267.1
2.0900       -1533.3008   -1533.5145       0.2137   413.3
2.1000       -1533.2705   -1533.6619       0.3914   757.1
2.1100       -1533.1960   -1533.5982       0.4023   778.0
2.1200       -1533.3201   -1533.6582       0.3381   653.9
2.1300       -1533.3211   -1533.6605       0.3393   656.3
2.1400       -1533.5860   -1533.6795       0.0935   180.8
2.1500       -1533.5917   -1533.6761       0.0844   163.3
2.1600       -1533.4680   -1533.6251       0.1570   303.7
2.1700       -1533.3435   -1533.5898       0.2463   476.3
2.1800       -1533.3691   -1533.5389       0.1698   328.4
2.1900       -1533.0597   -1533.5603       0.5006   968.2
2.2000       -1533.0228   -1533.2655       0.2427   469.4
2.2100       -1533.1935   -1533.4365       0.2429   469.9
2.2200       -1533.4550   -1533.5895       0.1345   260.1
2.2300       -1533.5119   -1533.5849       0.0730   141.3
2.2400       -1533.1724   -1533.4916       0.3193   617.5
2.2500       -1533.3668   -1533.4734       0.1066   206.1
2.2600       -1533.5555   -1533.6214       0.0659   127.5
2.2700       -1533.4004   -1533.6001       0.1996   386.1
2.2800       -1533.5777   -1533.7158       0.1380   266.9
2.2900       -1533.4319   -1533.6703       0.2384   461.1
2.3000       -1533.3670   -1533.6099       0.2428   469.6
2.3100       -1533.2405   -1533.7050       0.4645   898.4
2.3200       -1533.4273   -1533.6141       0.1867   361.1
2.3300       -1533.2171   -1533.5382       0.3211   621.1
2.3400       -1533.1796   -1533.5360       0.3565   689.4
2.3500       -1533.3923   -1533.5889       0.1966   380.3
2.3600       -1533.5692   -1533.6454       0.0762   147.3
2.3700       -1533.5397   -1533.6617       0.1220   236.0
2.3800       -1533.4770   -1533.5996       0.1226   237.1
2.3900       -1533.2976   -1533.5065       0.2088   403.9
2.4000       -1533.5277   -1533.6381       0.1104   213.5
2.4100       -1533.2743   -1533.3548       0.0805   155.7
2.4200       -1533.1922   -1533.4094       0.2172   420.1
2.4300       -1532.9930   -1533.3747       0.3817   738.3
2.4400       -1533.5303   -1533.5767       0.0465    89.9
2.4500       -1533.2780   -1533.5934       0.3154   610.0
2.4600       -1533.2693   -1533.6200       0.3507   678.2
2.4700       -1533.3861   -1533.5722       0.1860   359.8
2.4800       -1533.4777   -1533.6660       0.1883   364.1
2.4900       -1533.4762   -1533.6598       0.1836   355.0
2.5000       -1533.4546   -1533.5990       0.1444   279.2
2.5100       -1533.4099   -1533.5685       0.1585   306.6
2.5200       -1533.4635   -1533.5319       0.0684   132.3
2.5300       -1533.3487   -1533.5941       0.2454   474.6
2.5400       -1533.3943   -1533.5579       0.1636   316.4
2.5500       -1533.2758   -1533.5424       0.2666   515.5
2.5600       -1533.4564   -1533.5978       0.1414   273.6
2.5700       -1533.4749   -1533.5606       0.0857   165.8
2.5800       -1533.2407   -1533.3171       0.0764   147.8
2.5900       -1533.2453   -1533.5182       0.2729   527.9
2.6000       -1533.1557   -1533.5154       0.3598   695.8
2.6100       -1533.2830   -1533.5662       0.2832   547.7
2.6200       -1533.2547   -1533.3995       0.1448   280.1
2.6300       -1533.3325   -1533.4785       0.1460   282.4
2.6400       -1533.3049   -1533.4782       0.1733   335.1
2.6500       -1533.2680   -1533.5694       0.3014   583.0
2.6600       -1532.9178   -1533.4989       0.5812  1124.0
2.6700       -1532.9762   -1533.4525       0.4762   921.0
2.6800       -1533.0681   -1533.1309       0.0628   121.4
2.6900       -1533.4272   -1533.4903       0.0631   122.0
2.7000       -1533.3052   -1533.4358       0.1306   252.6
2.7100       -1533.1958   -1533.4454       0.2495   482.6
2.7200       -1533.2309   -1533.4708       0.2399   464.0
2.7300       -1533.1768   -1533.4160       0.2393   462.8
2.7400       -1533.2265   -1533.5445       0.3180   615.0
2.7500       -1533.4371   -1533.5019       0.0648   125.2
2.7600       -1533.2732   -1533.4061       0.1329   257.0
2.7700       -1533.1748   -1533.3364       0.1616   312.5
2.7800       -1533.2684   -1533.4694       0.2010   388.8
2.7900       -1533.1328   -1533.3479       0.2150   415.9
2.8000       -1532.9844   -1533.4304       0.4460   862.5
2.8100       -1533.1645   -1533.3916       0.2272   439.3
2.8200       -1533.1948   -1533.3919       0.1972   381.3
2.8300       -1533.3311   -1533.4941       0.1630   315.3
2.8400       -1533.2253   -1533.3801       0.1548   299.4
2.8500       -1533.2077   -1533.4137       0.2060   398.5
2.8600       -1533.3533   -1533.4536       0.1003   193.9
2.8700       -1533.2290   -1533.3863       0.1572   304.1
2.8800       -1533.2596   -1533.4211       0.1616   312.5
2.8900       -1533.1265   -1533.3858       0.2593   501.5
2.9000       -1533.0839   -1533.3861       0.3022   584.4
