      Step     Time          Energy         fmax
BFGS:    0 19:02:19    -1535.621339        1.0042
BFGS:    1 19:02:23    -1535.640002        0.4064
BFGS:    2 19:02:29    -1535.643337        0.1716
BFGS:    3 19:02:32    -1535.645923        0.1967
BFGS:    4 19:02:35    -1535.648178        0.1434
BFGS:    5 19:02:38    -1535.648942        0.0517
BFGS:    6 19:02:40    -1535.649018        0.0036
BFGS:    7 19:02:43    -1535.649018        0.0001
