      Step     Time          Energy         fmax
BFGS:    0 18:58:58    -1535.621339        1.0042
BFGS:    1 18:58:59    -1535.640002        0.4064
BFGS:    2 18:59:00    -1535.643337        0.1716
BFGS:    3 18:59:01    -1535.645923        0.1967
BFGS:    4 18:59:03    -1535.648178        0.1434
BFGS:    5 18:59:04    -1535.648942        0.0517
BFGS:    6 18:59:05    -1535.649018        0.0036
BFGS:    7 18:59:06    -1535.649018        0.0001
