      Step     Time          Energy         fmax
BFGS:    0 11:05:11    -1535.621339        1.0042
BFGS:    1 11:05:12    -1535.640002        0.4064
BFGS:    2 11:05:13    -1535.643337        0.1716
BFGS:    3 11:05:14    -1535.645923        0.1967
BFGS:    4 11:05:15    -1535.648178        0.1434
BFGS:    5 11:05:17    -1535.648942        0.0517
BFGS:    6 11:05:18    -1535.649018        0.0036
BFGS:    7 11:05:19    -1535.649018        0.0001
